"","state","year","SuicideMean","PovertyPercentage","mentalHealthMean","SZscore","PZscore","MZscore"
"218","Oklahoma",2012,17.6,18,4.2,0.656742783495375,1.25804799020056,0.824187882978863
"219","Oklahoma",2013,17.2,14,4.3,0.563097260778886,0.0933473321523904,1.01597608996862
"220","Oklahoma",2014,19.1,17.3,4.1,1.00791349368221,1.05422537504213,0.632399675989104
"221","Oklahoma",2015,20.3,14.2,4.1,1.28885006183167,0.151582365054799,0.632399675989104
"222","Oklahoma",2016,21,14.6,4.4,1.45272972658553,0.268052430859616,1.20776429695838
"223","Oregon",2011,16.6,14.4,3.8,0.422628976704153,0.209817397957208,0.0570350550198299
"224","Oregon",2012,17.8,13.5,4.4,0.703565544853619,-0.0522402501036314,1.20776429695838
"225","Oregon",2013,16.8,15.1,4.4,0.469451738062398,0.413640013115638,1.20776429695838
"226","Oregon",2014,18.6,14.4,4.2,0.890856590286597,0.209817397957208,0.824187882978863
"227","Oregon",2015,17.8,11.9,4.6,0.703565544853619,-0.518120513322901,1.5913407109379
"228","Oregon",2016,17.8,11.8,4.4,0.703565544853619,-0.547238029774105,1.20776429695838
"229","Pennsylvania",2011,13.2,12.6,4.1,-0.373357966386001,-0.314297898164471,0.632399675989104
"230","Pennsylvania",2012,12.4,13.9,4,-0.560649011818978,0.0642298157011861,0.440611468999347
"231","Pennsylvania",2013,13.4,12.4,4.1,-0.326535205027756,-0.372532931066879,0.632399675989104
"232","Pennsylvania",2014,13.3,12.5,4,-0.349946585706879,-0.343415414615675,0.440611468999347
"233","Pennsylvania",2015,14,12.3,3.9,-0.186066920953023,-0.401650447518083,0.248823262009588
"234","Pennsylvania",2016,14.7,11.1,4.3,-0.0221872561991684,-0.751060644932536,1.01597608996862
"235","Rhode Island",2011,8.9,13.4,4.3,-1.38004733558825,-0.0813577665548357,1.01597608996862
"236","Rhode Island",2012,9.5,13.6,4.2,-1.23957905151352,-0.0231227336524272,0.824187882978863
"237","Rhode Island",2013,12.2,13.5,3.8,-0.607471773177223,-0.0522402501036314,0.0570350550198299
"238","Rhode Island",2014,10.1,11.3,3.7,-1.09911076743879,-0.692825612030127,-0.134753151969928
"239","Rhode Island",2015,11.2,11.8,4.2,-0.841585579968445,-0.547238029774105,0.824187882978863
"240","Rhode Island",2016,11.2,11.4,4.3,-0.841585579968445,-0.663708095578923,1.01597608996862
"241","South Carolina",2011,13.6,19,4.1,-0.279712443669512,1.54922315471261,0.632399675989104
"242","South Carolina",2012,13.7,16.7,4.2,-0.25630106299039,0.879520276334908,0.824187882978863
"243","South Carolina",2013,14,15.9,3.8,-0.186066920953023,0.646580144725273,0.0570350550198299
"244","South Carolina",2014,15.2,16.5,4.2,0.0948696471964425,0.821285243432499,0.824187882978863
