"","state","year","SuicideMean","PovertyPercentage","mentalHealthMean","SZscore","PZscore","MZscore"
"1","Alabama",2011,13.2,15.4,4.9,-0.373357966386001,0.500992562469252,2.16670533190717
"2","Alabama",2012,14.7,16.2,5.4,-0.0221872561991684,0.733932694078886,3.12564636685596
"3","Alabama",2013,14.4,16.7,4.5,-0.0924213982365347,0.879520276334908,1.39955250394814
"4","Alabama",2014,14.5,17.8,4.7,-0.0690100175574126,1.19981295729816,1.78312891792765
"5","Alabama",2015,14.9,16.3,4.4,0.0246355051590762,0.763050210530091,1.20776429695838
"6","Alabama",2016,15.7,16.2,4.6,0.211926550592053,0.733932694078886,1.5913407109379
"7","Alaska",2011,20,11.7,3.1,1.21861591979431,-0.57635554622531,-1.28548239390848
"8","Alaska",2012,23,10,3.1,1.92095734016797,-1.07135332589578,-1.28548239390848
"9","Alaska",2013,23.2,10.9,3,1.96778010152622,-0.809295677834945,-1.47727060089824
"10","Alaska",2014,22.1,11.9,3,1.71025491405587,-0.518120513322901,-1.47727060089824
"11","Alaska",2015,26.9,9.2,3.4,2.83400118665374,-1.30429345750542,-0.710117772939203
"12","Alaska",2016,25.8,12.6,3.4,2.57647599918339,-0.314297898164471,-0.710117772939203
"13","Arizona",2011,17.8,17.2,3.9,0.703565544853619,1.02510785859093,0.248823262009588
"14","Arizona",2012,17.3,19,4,0.586508641458009,1.54922315471261,0.440611468999347
"15","Arizona",2013,17.5,20.2,3.9,0.633331402816253,1.89863335212706,0.248823262009588
"16","Arizona",2014,18,21.2,3.7,0.750388306211864,2.1898085166391,-0.134753151969928
"17","Arizona",2015,18.2,17.2,3.8,0.797211067570108,1.02510785859093,0.0570350550198299
"18","Arizona",2016,17.7,16.1,3.9,0.680154164174497,0.704815177627682,0.248823262009588
"19","Arkansas",2011,16,18.7,5.3,0.28216069262942,1.46187060535899,2.9338581598662
"20","Arkansas",2012,16.3,20.1,4.7,0.352394834666787,1.86951583567586,1.78312891792765
"21","Arkansas",2013,17.3,17.1,4.5,0.586508641458009,0.995990342139726,1.39955250394814
"22","Arkansas",2014,17.3,18.4,4.4,0.586508641458009,1.37451805600538,1.20776429695838
"23","Arkansas",2015,19.1,16.1,4.8,1.00791349368221,0.704815177627682,1.97491712491741
"24","Arkansas",2016,18.2,16,5.2,0.797211067570108,0.675697661176478,2.74206995287645
"25","California",2011,10.4,16.9,3.7,-1.02887662540142,0.937755309237316,-0.134753151969928
"26","California",2012,10,15.9,3.8,-1.12252214811791,0.646580144725273,0.0570350550198299
"27","California",2013,10.2,14.9,3.7,-1.07569938675967,0.35540498021323,-0.134753151969928
"28","California",2014,10.5,15.8,3.6,-1.0054652447223,0.617462628274069,-0.326541358959686
"29","California",2015,10.3,13.9,3.6,-1.05228800608054,0.0642298157011861,-0.326541358959686
"30","California",2016,10.5,13.9,3.5,-1.0054652447223,0.0642298157011861,-0.518329565949444
"31","Colorado",2011,17.5,13.2,3.5,0.633331402816253,-0.139592799457245,-0.518329565949444
"32","Colorado",2012,19.7,11.9,3.5,1.14838177775694,-0.518120513322901,-0.518329565949444
"33","Colorado",2013,18.6,10.6,3.3,0.890856590286597,-0.896648227188558,-0.901905979928961
"34","Colorado",2014,19.9,12.3,3.2,1.19520453911518,-0.401650447518083,-1.09369418691872
"35","Colorado",2015,19.5,9.9,3.5,1.1015590163987,-1.10047084234699,-0.518329565949444
"36","Colorado",2016,20.5,8.5,3.6,1.33567282318992,-1.50811607266385,-0.326541358959686
"37","Connecticut",2011,9.8,10.1,3.6,-1.16934490947615,-1.04223580944458,-0.326541358959686
"38","Connecticut",2012,9.9,10.3,3.7,-1.14593352879703,-0.984000776542171,-0.134753151969928
"39","Connecticut",2013,8.7,11.3,3.5,-1.4268700969465,-0.692825612030127,-0.518329565949444
"40","Connecticut",2014,9.8,8.6,3.7,-1.16934490947615,-1.47899855621265,-0.134753151969928
"41","Connecticut",2015,9.9,9.1,3.7,-1.14593352879703,-1.33341097395662,-0.134753151969928
"42","Connecticut",2016,10.1,9.8,3.8,-1.09911076743879,-1.12958835879819,0.0570350550198299
"43","Delaware",2011,11,13.7,3.4,-0.888408341326689,0.00599478279877709,-0.710117772939203
"44","Delaware",2012,13.2,13.5,3.7,-0.373357966386001,-0.0522402501036314,-0.134753151969928
"45","Delaware",2013,12.5,14,3.6,-0.537237631139856,0.0933473321523904,-0.326541358959686
"46","Delaware",2014,13.2,11,3.6,-0.373357966386001,-0.78017816138374,-0.326541358959686
"47","Delaware",2015,12.6,11.1,3.6,-0.513826250460734,-0.751060644932536,-0.326541358959686
"48","Delaware",2016,11.5,11.6,3.7,-0.771351437931078,-0.605473062676514,-0.134753151969928
"49","District of Columbia",2011,5.6,19.9,3.6,-2.15262289799929,1.81128080277345,-0.326541358959686
"50","District of Columbia",2012,5.7,18.4,3.8,-2.12921151732016,1.37451805600538,0.0570350550198299
"51","District of Columbia",2013,5.7,21.3,3.5,-2.12921151732016,2.21892603309031,-0.518329565949444
"52","District of Columbia",2014,7.8,19,3.3,-1.6375725230586,1.54922315471261,-0.901905979928961
"53","District of Columbia",2015,4.9,16.6,3.4,-2.31650256275314,0.850402759883704,-0.710117772939203
"54","District of Columbia",2016,5.2,16.3,3.3,-2.24626842071578,0.763050210530091,-0.901905979928961
"55","Florida",2011,13.9,14.9,4.4,-0.209478301632146,0.35540498021323,1.20776429695838
"56","Florida",2012,14.4,15.3,4.5,-0.0924213982365347,0.471875046018047,1.39955250394814
"57","Florida",2013,13.8,14.9,4.1,-0.232889682311268,0.35540498021323,0.632399675989104
"58","Florida",2014,13.9,16.7,3.8,-0.209478301632146,0.879520276334908,0.0570350550198299
"59","Florida",2015,14.4,16.2,4.2,-0.0924213982365347,0.733932694078886,0.824187882978863
"60","Florida",2016,14,13,3.7,-0.186066920953023,-0.197827832359653,-0.134753151969928
"61","Georgia",2011,11.7,18.4,3.9,-0.724528676572834,1.37451805600538,0.248823262009588
"62","Georgia",2012,11.7,18.1,3.6,-0.724528676572834,1.28716550665177,-0.326541358959686
"63","Georgia",2013,12,16.3,3.4,-0.654294534535467,0.763050210530091,-0.710117772939203
"64","Georgia",2014,12.6,16.8,4,-0.513826250460734,0.908637792786113,0.440611468999347
"65","Georgia",2015,12.7,18.1,3.7,-0.490414869781612,1.28716550665177,-0.134753151969928
"66","Georgia",2016,13.3,15.4,3.7,-0.349946585706879,0.500992562469252,-0.134753151969928
"67","Hawaii",2011,12.8,12.1,2.9,-0.467003489102489,-0.459885480420493,-1.66905880788799
"68","Hawaii",2012,13.1,13.8,3,-0.396769347065123,0.0351122992499819,-1.47727060089824
"69","Hawaii",2013,11.8,11.1,2.7,-0.701117295893711,-0.751060644932536,-2.05263522186751
"70","Hawaii",2014,13.8,10.8,2.8,-0.232889682311268,-0.838413194286149,-1.86084701487775
"71","Hawaii",2015,13.5,10.9,3,-0.303123824348634,-0.809295677834945,-1.47727060089824
"72","Hawaii",2016,12.1,9.3,3.2,-0.630883153856345,-1.27517594105421,-1.09369418691872
"73","Idaho",2011,18.2,15.7,3.8,0.797211067570108,0.588345111822864,0.0570350550198299
"74","Idaho",2012,19,14.4,3.9,0.984502113003085,0.209817397957208,0.248823262009588
"75","Idaho",2013,19.2,12.9,3.7,1.03132487436133,-0.226945348810857,-0.134753151969928
"76","Idaho",2014,20,12.4,3.3,1.21861591979431,-0.372532931066879,-0.901905979928961
"77","Idaho",2015,22.1,12.3,3.5,1.71025491405587,-0.401650447518083,-0.518329565949444
"78","Idaho",2016,21.4,11.1,3.6,1.54637524930202,-0.751060644932536,-0.326541358959686
"79","Illinois",2011,9.3,14.2,4,-1.28640181287177,0.151582365054799,0.440611468999347
"80","Illinois",2012,9.8,12.6,3.5,-1.16934490947615,-0.314297898164471,-0.518329565949444
"81","Illinois",2013,9.9,13.3,3.7,-1.14593352879703,-0.11047528300604,-0.134753151969928
"82","Illinois",2014,10.5,13.7,3.6,-1.0054652447223,0.00599478279877709,-0.326541358959686
"83","Illinois",2015,10.3,10.9,3.4,-1.05228800608054,-0.809295677834945,-0.710117772939203
"84","Illinois",2016,10.7,12.1,3.4,-0.958642483364056,-0.459885480420493,-0.710117772939203
"85","Indiana",2011,13.5,15.6,4.3,-0.303123824348634,0.55922759537166,1.01597608996862
